,nipt_files,mapping
371,sample_404,sample_371
372,sample_405,sample_372
373,sample_406,sample_373
374,sample_407,sample_374
375,sample_408,sample_375
376,sample_409,sample_376
377,sample_410,sample_377
378,sample_411,sample_378
379,sample_412,sample_379
380,sample_413,sample_380
381,sample_414,sample_381
382,sample_415,sample_382
383,sample_416,sample_383
384,sample_417,sample_384
385,sample_418,sample_385
386,sample_419,sample_386
387,sample_422,sample_387
388,sample_423,sample_388
389,sample_424,sample_389
390,sample_427,sample_390
391,sample_430,sample_391
392,sample_431,sample_392
393,sample_432,sample_393
394,sample_433,sample_394
395,sample_434,sample_395
396,sample_435,sample_396
397,sample_436,sample_397
398,sample_437,sample_398
399,sample_438,sample_399
400,sample_439,sample_400
401,sample_440,sample_401
402,sample_441,sample_402
403,sample_442,sample_403
404,sample_443,sample_404
405,sample_444,sample_405
406,sample_445,sample_406
407,sample_446,sample_407
408,sample_447,sample_408
409,sample_448,sample_409
410,sample_449,sample_410
411,sample_450,sample_411
412,sample_451,sample_412
413,sample_452,sample_413
414,sample_453,sample_414
415,sample_454,sample_415
416,sample_455,sample_416
417,sample_456,sample_417
418,sample_457,sample_418
419,sample_458,sample_419
420,sample_459,sample_420
421,sample_460,sample_421
422,sample_461,sample_422
423,sample_462,sample_423
424,sample_463,sample_424
425,sample_464,sample_425
426,sample_465,sample_426
427,sample_466,sample_427
428,sample_467,sample_428
429,sample_468,sample_429
430,sample_469,sample_430
431,sample_470,sample_431
432,sample_471,sample_432
433,sample_472,sample_433
434,sample_473,sample_434
435,sample_474,sample_435
436,sample_475,sample_436
437,sample_476,sample_437
438,sample_477,sample_438
439,sample_478,sample_439
440,sample_479,sample_440
441,sample_480,sample_441
442,sample_481,sample_442
443,sample_482,sample_443
444,sample_483,sample_444
445,sample_484,sample_445
446,sample_485,sample_446
447,sample_486,sample_447
448,sample_487,sample_448
449,sample_488,sample_449
450,sample_489,sample_450
451,sample_490,sample_451
452,sample_491,sample_452
453,sample_492,sample_453
454,sample_493,sample_454
455,sample_494,sample_455
456,sample_495,sample_456
457,sample_496,sample_457
458,sample_498,sample_458
459,sample_499,sample_459
460,sample_500,sample_460
461,sample_501,sample_461
462,sample_502,sample_462
463,sample_503,sample_463
464,sample_504,sample_464
465,sample_505,sample_465
466,sample_506,sample_466
467,sample_507,sample_467
468,sample_508,sample_468
469,sample_509,sample_469
470,sample_510,sample_470
471,sample_513,sample_471
472,sample_514,sample_472
473,sample_515,sample_473
474,sample_516,sample_474
475,sample_517,sample_475
476,sample_518,sample_476
477,sample_520,sample_477
478,sample_522,sample_478
479,sample_523,sample_479
480,sample_524,sample_480
481,sample_525,sample_481
482,sample_526,sample_482
483,sample_527,sample_483
484,sample_529,sample_484
485,sample_530,sample_485
486,sample_531,sample_486
487,sample_532,sample_487
488,sample_533,sample_488
489,sample_534,sample_489
490,sample_535,sample_490
491,sample_536,sample_491
492,sample_537,sample_492
493,sample_538,sample_493
494,sample_539,sample_494
495,sample_540,sample_495
496,sample_541,sample_496
497,sample_542,sample_497
498,sample_543,sample_498
499,sample_544,sample_499
500,sample_545,sample_500
501,sample_546,sample_501
502,sample_547,sample_502
503,sample_548,sample_503
504,sample_549,sample_504
505,sample_550,sample_505
506,sample_552,sample_506
507,sample_553,sample_507
508,sample_554,sample_508
509,sample_555,sample_509
510,sample_556,sample_510
511,sample_557,sample_511
512,sample_558,sample_512
513,sample_559,sample_513
514,sample_560,sample_514
515,sample_561,sample_515
516,sample_562,sample_516
517,sample_563,sample_517
518,sample_564,sample_518
519,sample_565,sample_519
520,sample_566,sample_520
521,sample_567,sample_521
522,sample_568,sample_522
523,sample_569,sample_523
524,sample_570,sample_524
525,sample_572,sample_525
526,sample_573,sample_526
527,sample_574,sample_527
528,sample_575,sample_528
529,sample_576,sample_529
530,sample_577,sample_530
531,sample_578,sample_531
532,sample_579,sample_532
533,sample_580,sample_533
534,sample_581,sample_534
535,sample_582,sample_535
536,sample_583,sample_536
537,sample_584,sample_537
538,sample_585,sample_538
539,sample_586,sample_539
540,sample_587,sample_540
541,sample_588,sample_541
542,sample_589,sample_542
543,sample_592,sample_543
544,sample_593,sample_544
545,sample_594,sample_545
546,sample_595,sample_546
547,sample_596,sample_547
